INFO 2024-09-04 16:53:25,296 basehttp:161 "GET /api/v1/system/permissions HTTP/1.1" 200 2971
INFO 2024-09-04 16:53:25,320 basehttp:161 "GET /api/v1/system/user/permission HTTP/1.1" 200 56
INFO 2024-09-04 16:53:32,882 basehttp:161 "POST /get-jwt-token HTTP/1.1" 200 225
INFO 2024-09-04 16:53:32,930 basehttp:161 "GET /api/v1/system/user?page=1&limit=10 HTTP/1.1" 200 420
INFO 2024-09-04 16:53:32,930 basehttp:161 "GET /api/v1/system/role?limit=99999 HTTP/1.1" 200 211
INFO 2024-09-04 16:53:39,700 basehttp:161 "GET /api/v1/system/role?page=1&limit=10 HTTP/1.1" 200 211
INFO 2024-09-04 16:53:39,743 basehttp:161 "GET /api/v1/system/all-permissions HTTP/1.1" 200 6259
INFO 2024-09-04 16:53:47,494 basehttp:161 "PUT /api/v1/system/role/permission/1 HTTP/1.1" 200 49
INFO 2024-09-04 16:53:47,526 basehttp:161 "GET /api/v1/system/role?page=1&limit=10 HTTP/1.1" 200 239
INFO 2024-09-04 16:53:50,971 basehttp:161 "GET /api/v1/system/user?page=1&limit=10 HTTP/1.1" 200 420
INFO 2024-09-04 16:53:50,973 basehttp:161 "GET /api/v1/system/role?limit=99999 HTTP/1.1" 200 239
INFO 2024-09-04 16:53:53,799 basehttp:161 "GET /api/v1/system/user/details HTTP/1.1" 200 146
INFO 2024-09-04 16:53:53,845 basehttp:161 "GET /api/v1/system/permissions HTTP/1.1" 200 2971
INFO 2024-09-04 16:53:53,866 basehttp:161 "GET /api/v1/system/user/permission HTTP/1.1" 200 56
INFO 2024-09-04 16:53:57,391 basehttp:161 "POST /get-jwt-token HTTP/1.1" 200 225
INFO 2024-09-04 16:53:57,416 basehttp:161 "GET /api/v1/system/user/details HTTP/1.1" 200 146
INFO 2024-09-04 16:53:57,437 basehttp:161 "GET /api/v1/system/permissions HTTP/1.1" 200 2971
INFO 2024-09-04 16:53:57,449 basehttp:161 "GET /api/v1/system/user/permission HTTP/1.1" 200 56
INFO 2024-09-04 16:54:02,981 basehttp:161 "POST /get-jwt-token HTTP/1.1" 200 225
INFO 2024-09-04 16:54:03,002 basehttp:161 "GET /api/v1/system/user/details HTTP/1.1" 200 146
INFO 2024-09-04 16:54:03,024 basehttp:161 "GET /api/v1/system/permissions HTTP/1.1" 200 2971
INFO 2024-09-04 16:54:03,035 basehttp:161 "GET /api/v1/system/user/permission HTTP/1.1" 200 56
INFO 2024-09-04 16:56:01,203 basehttp:161 "POST /get-jwt-token HTTP/1.1" 200 225
INFO 2024-09-04 16:56:01,226 basehttp:161 "GET /api/v1/system/user/details HTTP/1.1" 200 146
INFO 2024-09-04 16:56:01,248 basehttp:161 "GET /api/v1/system/permissions HTTP/1.1" 200 2971
INFO 2024-09-04 16:56:01,257 basehttp:161 "GET /api/v1/system/user/permission HTTP/1.1" 200 56
INFO 2024-09-04 16:57:10,028 basehttp:161 "POST /get-jwt-token HTTP/1.1" 200 225
INFO 2024-09-04 16:57:10,050 basehttp:161 "GET /api/v1/system/user/details HTTP/1.1" 200 146
INFO 2024-09-04 16:57:10,075 basehttp:161 "GET /api/v1/system/permissions HTTP/1.1" 200 2971
INFO 2024-09-04 16:57:10,088 basehttp:161 "GET /api/v1/system/user/permission HTTP/1.1" 200 56
INFO 2024-09-04 16:57:39,645 basehttp:161 "POST /get-jwt-token HTTP/1.1" 200 225
INFO 2024-09-04 16:57:39,665 basehttp:161 "GET /api/v1/system/user/details HTTP/1.1" 200 146
INFO 2024-09-04 16:57:39,687 basehttp:161 "GET /api/v1/system/permissions HTTP/1.1" 200 2971
INFO 2024-09-04 16:57:39,699 basehttp:161 "GET /api/v1/system/user/permission HTTP/1.1" 200 56
INFO 2024-09-04 21:36:30,627 autoreload:636 Watching for file changes with StatReloader
WARNING 2024-09-04 21:37:36,312 log:224 Bad Request: /get-jwt-token
WARNING 2024-09-04 21:37:36,313 basehttp:161 "POST /get-jwt-token HTTP/1.1" 400 67
INFO 2024-09-04 21:37:50,812 basehttp:161 "POST /get-jwt-token HTTP/1.1" 200 225
INFO 2024-09-04 21:37:50,843 basehttp:161 "GET /api/v1/system/user/details HTTP/1.1" 200 146
INFO 2024-09-04 21:37:50,869 basehttp:161 "GET /api/v1/system/permissions HTTP/1.1" 200 1197
INFO 2024-09-04 21:37:50,886 basehttp:161 "GET /api/v1/system/user/permission HTTP/1.1" 200 56
INFO 2024-09-04 21:37:55,125 basehttp:161 "GET /api/v1/system/role?limit=99999 HTTP/1.1" 200 211
INFO 2024-09-04 21:37:55,126 basehttp:161 "GET /api/v1/system/user?page=1&limit=10 HTTP/1.1" 200 416
INFO 2024-09-04 21:38:11,803 basehttp:161 "POST /api/v1/system/user HTTP/1.1" 200 49
INFO 2024-09-04 21:38:11,834 basehttp:161 "GET /api/v1/system/user?page=1&limit=10 HTTP/1.1" 200 753
INFO 2024-09-04 21:38:14,620 basehttp:161 "DELETE /api/v1/system/user/1 HTTP/1.1" 200 49
WARNING 2024-09-04 21:38:14,646 log:224 Unauthorized: /api/v1/system/user
WARNING 2024-09-04 21:38:14,647 basehttp:161 "GET /api/v1/system/user?page=1&limit=10 HTTP/1.1" 401 31
WARNING 2024-09-04 21:38:18,226 log:224 Unauthorized: /api/v1/system/user/details
WARNING 2024-09-04 21:38:18,227 basehttp:161 "GET /api/v1/system/user/details HTTP/1.1" 401 31
INFO 2024-09-04 21:38:21,661 basehttp:161 "POST /get-jwt-token HTTP/1.1" 200 216
INFO 2024-09-04 21:38:21,686 basehttp:161 "GET /api/v1/system/user/details HTTP/1.1" 200 139
INFO 2024-09-04 21:38:21,709 basehttp:161 "GET /api/v1/system/permissions HTTP/1.1" 200 1197
INFO 2024-09-04 21:38:21,723 basehttp:161 "GET /api/v1/system/user/permission HTTP/1.1" 200 56
INFO 2024-09-04 21:38:21,806 basehttp:161 "GET /api/v1/system/user?page=1&limit=10 HTTP/1.1" 200 406
INFO 2024-09-04 21:38:21,806 basehttp:161 "GET /api/v1/system/role?limit=99999 HTTP/1.1" 200 211
INFO 2024-09-04 21:38:23,771 basehttp:161 "GET /api/v1/system/role?page=1&limit=10 HTTP/1.1" 200 211
INFO 2024-09-04 21:38:23,796 basehttp:161 "GET /api/v1/system/all-permissions HTTP/1.1" 200 4565
INFO 2024-09-04 21:38:24,425 basehttp:161 "GET /api/v1/system/all-permissions HTTP/1.1" 200 4565
INFO 2024-09-04 21:40:30,598 basehttp:161 "GET /api/v1/system/role?page=1&limit=10 HTTP/1.1" 200 211
INFO 2024-09-04 21:40:30,629 basehttp:161 "GET /api/v1/system/all-permissions HTTP/1.1" 200 4565
INFO 2024-09-04 21:40:31,592 basehttp:161 "GET /api/v1/system/all-permissions HTTP/1.1" 200 4565
INFO 2024-09-04 21:41:31,880 basehttp:161 "POST /api/v1/system/permission HTTP/1.1" 200 284
INFO 2024-09-04 21:41:31,980 basehttp:161 "GET /api/v1/system/all-permissions HTTP/1.1" 200 4804
INFO 2024-09-04 21:41:39,467 basehttp:161 "PUT /api/v1/system/permission/1 HTTP/1.1" 200 303
INFO 2024-09-04 21:41:39,553 basehttp:161 "GET /api/v1/system/all-permissions HTTP/1.1" 200 4805
INFO 2024-09-04 21:44:21,091 basehttp:161 "POST /api/v1/system/permission HTTP/1.1" 200 307
INFO 2024-09-04 21:44:21,185 basehttp:161 "GET /api/v1/system/all-permissions HTTP/1.1" 200 5081
INFO 2024-09-04 21:45:55,330 basehttp:161 "POST /api/v1/system/permission HTTP/1.1" 200 315
INFO 2024-09-04 21:45:55,431 basehttp:161 "GET /api/v1/system/all-permissions HTTP/1.1" 200 5351
INFO 2024-09-04 21:47:04,968 basehttp:161 "PUT /api/v1/system/permission/23 HTTP/1.1" 200 323
INFO 2024-09-04 21:47:05,054 basehttp:161 "GET /api/v1/system/all-permissions HTTP/1.1" 200 5367
INFO 2024-09-04 21:47:17,144 basehttp:161 "PUT /api/v1/system/permission/24 HTTP/1.1" 200 333
INFO 2024-09-04 21:47:17,229 basehttp:161 "GET /api/v1/system/all-permissions HTTP/1.1" 200 5385
INFO 2024-09-04 21:47:24,068 basehttp:161 "PUT /api/v1/system/permission/24 HTTP/1.1" 200 332
INFO 2024-09-04 21:47:24,161 basehttp:161 "GET /api/v1/system/all-permissions HTTP/1.1" 200 5384
INFO 2024-09-04 21:47:29,983 basehttp:161 "GET /api/v1/system/user?page=1&limit=10 HTTP/1.1" 200 406
INFO 2024-09-04 21:47:29,983 basehttp:161 "GET /api/v1/system/role?limit=99999 HTTP/1.1" 200 211
INFO 2024-09-04 21:47:32,649 basehttp:161 "GET /api/v1/system/role?page=1&limit=10 HTTP/1.1" 200 211
INFO 2024-09-04 21:47:32,677 basehttp:161 "GET /api/v1/system/all-permissions HTTP/1.1" 200 5384
INFO 2024-09-04 21:47:32,786 basehttp:161 "GET /api/v1/system/all-permissions HTTP/1.1" 200 5384
INFO 2024-09-04 21:47:36,524 basehttp:161 "GET /api/v1/system/user/details HTTP/1.1" 200 139
INFO 2024-09-04 21:47:36,562 basehttp:161 "GET /api/v1/system/permissions HTTP/1.1" 200 2048
INFO 2024-09-04 21:47:36,580 basehttp:161 "GET /api/v1/system/user/permission HTTP/1.1" 200 56
INFO 2024-09-04 21:47:39,675 basehttp:161 "GET /api/v1/cmdb/model-group HTTP/1.1" 200 71
INFO 2024-09-04 21:47:48,263 basehttp:161 "POST /api/v1/cmdb/model-group HTTP/1.1" 200 114
INFO 2024-09-04 21:47:48,308 basehttp:161 "GET /api/v1/cmdb/model-group HTTP/1.1" 200 152
INFO 2024-09-04 21:48:13,132 basehttp:161 "POST /api/v1/cmdb/model HTTP/1.1" 200 126
INFO 2024-09-04 21:48:13,180 basehttp:161 "GET /api/v1/cmdb/model-group HTTP/1.1" 200 231
INFO 2024-09-04 21:48:16,250 basehttp:161 "GET /api/v1/cmdb/model/1 HTTP/1.1" 200 145
INFO 2024-09-04 21:48:39,213 basehttp:161 "POST /api/v1/cmdb/field-group HTTP/1.1" 200 126
INFO 2024-09-04 21:48:39,257 basehttp:161 "GET /api/v1/cmdb/model/1 HTTP/1.1" 200 238
INFO 2024-09-04 21:50:36,972 basehttp:161 "POST /api/v1/cmdb/fields HTTP/1.1" 200 238
INFO 2024-09-04 21:50:37,018 basehttp:161 "GET /api/v1/cmdb/model/1 HTTP/1.1" 200 429
INFO 2024-09-04 21:50:42,622 basehttp:161 "GET /api/v1/system/all-permissions HTTP/1.1" 200 5384
INFO 2024-09-04 21:51:44,973 basehttp:161 "POST /api/v1/system/permission HTTP/1.1" 200 323
INFO 2024-09-04 21:51:45,066 basehttp:161 "GET /api/v1/system/all-permissions HTTP/1.1" 200 5662
